locality,country,stateprovince,county,uuid
"nanoose bay, vancouver island",canada,british columbia,,13308335-8416-4f6f-b74a-92e9c594b1c3
iquitos,peru,loreto,maynas,3544a4d1-46af-4c18-82ff-cebc5cd30f72
enumclaw,united states,washington,king,17e2ad34-e9ec-4244-a0a3-5c4d82827532
near cowicham lake,canada,british columbia,cowichan valley regional district,0dff6f1c-8200-4dba-817f-8a012f16bae1
payson,united states,arizona,gila,a0786a27-3711-4976-b4d0-95a4333513db
los angeles,united states,california,los angeles,450d74e2-ff09-4d3c-85a9-a84ded2fce00
"mesa verde national park, prater canyon, 1 mile south of montezuma valley overlook",united states,colorado,montezuma county,b9b6523a-2b97-424f-9772-174100a01c9b
salinas; vicinity,united states,california,monterey co.,9a547b49-1ddf-43b0-8529-864c6dd3f9ac
no disponible,no disponible,,,81bc0e83-f784-410e-b1f5-d081f0886fd7
princeton,canada,british columbia,,ced2a5cf-c9ec-4851-aef7-374bbcd45c9c
princeton,canada,british columbia,,b5f4c300-c3d5-4041-a6a1-056bf6d77059
port renfrew,canada,british columbia,,1715619c-e64d-4573-8e43-7dbb5b6fea58
,,,,d303fa38-74c4-4a6b-b7f0-f131f934086a
quinsam l.,canada,british columbia,,800185dc-0ddd-421f-9649-7e696ae83581
fort verde,united states,arizona,yavapai,f3ef9d4f-c002-4ce2-9f75-3b03cde47c64
t26n r71w s29,united states,wyoming,albany county,0048c521-16e5-4763-80e7-443c37f7a932
cedar r. watershed; landsburg,united states,washington,king county,d97c5dac-c33e-4e7a-96d5-8759fc51c314
"denver, denver zoo",united states,colorado,denver county,d6c72b27-7053-4131-a03b-050bd7bb557e
"sierra ladrones; 1.5 mi. se ladron peak; 12s, 314.0 easting, 3811.0 northing",united states,new mexico,socorro county,a34cc9a4-d633-4608-b292-7451179ccadb
"vicinity of red rock, lake pasture",united states,new mexico,grant county,a6c91518-3873-41a5-9ddc-21828ba44530
"san andres mtns., ash canyon; t 19s, r 4e",united states,new mexico,dona ana county,1004fe18-54cf-450e-8b5b-159a7a4bbc11
jack's canyon in red rock,united states,new mexico,grant county,f3d844fe-853a-414d-bf70-f08cd5ebdebe
ciemquilla creek north of clayton lake,united states,new mexico,union county,fa7db773-c693-402c-bdb9-dc8836dfab0c
comanche creek,united states,new mexico,rio arriba county,fc27ad9e-4b8d-4c38-ba88-a249d9694bce
florida panther national wildlife refuge,united states,florida,collier,2a20502b-cff5-4e15-b80c-df9edb904d50
amargo canyon,united states,new mexico,rio arriba county,fdc862f8-a3e5-4378-84e6-136fd409b588
"sierra lodrone mtns.; utm 13s, 3110830 easting, 3810935 northing",united states,new mexico,socorro county,00c4c593-7ca6-4bd3-8c7c-09876986ab64
alice moore,united states,new mexico,colfax county,04ff4725-19c5-4055-a5dc-a09ee1fe7404
carracas mesa,united states,new mexico,rio arriba county,08420f0e-ec94-462d-a990-190b3c5ba3c1
north end of ladrones west of ridge,united states,new mexico,socorro county,66dd332c-ebab-4709-a060-c4537937aaff
,,,,9f771253-308c-43b4-aaec-f9cbd59b5d49
interstate 25 between mile markers 39 and 40,united states,new mexico,sierra county,9021bfd8-eef2-44b1-b755-a1ffb21a7197
"oscura mtns., n on rim between jum site and south ; t 8s, r 5e",united states,new mexico,socorro county,d903bc0e-a367-421a-a942-3f31f90e95a7
"san andres mountains, near corona; 472.68 x 3790.50",united states,new mexico,dona ana county,bd60f4e0-733f-4b29-a856-e39771aa7bd4
3 mile canyon,united states,new mexico,otero county,c8d3bb81-e57f-4ae3-b4a5-763fad51e8cd
"sheep ridge, hughes ranch; utm grid 510x3542",united states,new mexico,socorro county,cae71985-f582-41b3-9e11-68a9d56d208f
"cr 846, w of county line road",united states,florida,collier,2573f48e-fc34-42ef-a5b5-3e0bf0df66b8
"san andres mtns., burro gap; t 9s, r 5e",united states,new mexico,socorro county,cbdd5b69-041d-49b4-a19c-9e65cf8fa8a0
"san andres, n of mineral hill.",united states,new mexico,dona ana county,e0d72a74-5ddf-41bb-9350-1ba68593ef7d
chloride canyon,united states,new mexico,sierra county,3d51c9a0-eb67-4acd-925a-93b13f2cab96
south slope of elk mtn,united states,new mexico,catron county,48daee55-7ce0-4471-954e-634918a98917
chino dry lake,united states,new mexico,rio arriba county,4d37c20c-ea82-442f-8eb6-17202b4fef15
n dryden,united states,texas,terrell,ad7549c6-8de1-4765-8dae-9541d7499157
g bar f ranch,united states,new mexico,lincoln county,370b744e-5348-4c93-85fb-9ac5c30a3ab6
cat mountain ranch,united states,new mexico,socorro county,3a2e43d3-e25c-473d-8c18-510e4eda089f
dixon's apple farm,united states,new mexico,sandoval county,3a68e9d2-27ef-48e7-825d-06cf8e586761
7 mi s rhodes canyon; t 14s. r 4e,united states,new mexico,sierra county,751ea1ad-4ecd-4a79-855b-fc8482e8cc32
"san andres mtns., ash canyon; t 19s, r 4e",united states,new mexico,dona ana county,7c2498e1-a9c8-4253-ad84-0b10ce7cfc1b
princeton,canada,british columbia,,03b2b74d-6b10-452f-9024-4a761df118c1
west side of little hatchets.,united states,new mexico,hidalgo county,81bd23c6-08e5-4224-915b-827b26242709
hoko river,united states,washington,clallam,5555f841-ff87-4981-9792-b97f91c200df
descalvados,brazil,mato grosso,caceres,20592512-d7c5-40b7-8503-8cb5fb7f6980
"potter park zoo, lansing",united states,michigan,ingham,110ca6b9-771d-4ceb-be97-0e45f14dbd71
keithville,united states,louisiana,caddo,76e8632f-827e-41cf-bcc2-d0861dd1ac72
head of beaver creek,united states,arizona,yavapai,c3c17610-2255-47f8-9a2a-6cc6020916f4
"mogollon mountains, eastern slope",united states,arizona,yavapai,658dc99c-ca76-4cb6-86d6-1d1717ab7414
campbell river,canada,british columbia,,f2a511ed-1f78-4c10-a5b7-71d1b04e39f7
bogachiel river,united states,washington,jefferson,cb30ad90-632d-43a3-bd89-793a15769f34
"colonia garcia, [about 60 mi sw casa grandes (see miller and kellogg, 1955:775)]",mexico,chihuahua,,b249caf1-3b00-4fba-ae5d-c976bada5111
near monte león,argentina,santa fe,,933bf17c-dcfb-4d99-9761-a2c86eb0cfbb
descalvados,brazil,mato grosso,caceres,951eaeae-a36c-44c4-9220-f62de6aeba2c
duvall; cherry cr.,united states,washington,king county,bb0ccd2d-052f-4120-b99f-7aef9922dda8
sangre de cristo,united states,colorado,alamosa county,e8511d5d-66a7-4182-b5a1-0f4f069d0250
lander,united states,wyoming,fremont county,9d1ea493-3c13-4718-ba66-0834d8d831ef
henson-robinson zoo,united states,illinois,sangamon,e57133ea-6a30-47f4-aebc-ed39ef30c1a1
dixon's apple farm,united states,new mexico,sandoval county,38bfdb8b-b3af-4400-a08d-e8a5aa266919
vigas mesa off of fr 314,united states,new mexico,rio arriba county,3c1d8f7c-c625-49e1-80cb-f1b4e73956b5
hart canyon,united states,new mexico,rio arriba county,448b6f07-dd1e-402f-9598-4996d77c140b
red rock wildlife management area.,united states,new mexico,grant county,1a55469f-9f10-4bc4-9006-b5a240110c3e
canon bonito ranch,united states,new mexico,mora county,1b92c68b-6827-498f-9881-f3be90072acb
"san andres mountains, capitan mountains; 482.00 x 3717.90",united states,new mexico,dona ana county,288e9e50-439c-40ca-8185-c3f3b04e1a0a
"trout lakes, fr 125",united states,new mexico,rio arriba county,2b830c71-9187-45bd-bb4a-1c65de4b8adf
150 mile house,canada,british columbia,cariboo,8dc62072-d402-46bf-b1ca-3087e089ceb4
gallina peak,united states,new mexico,rio arriba county,605e790f-524c-467c-bcd7-99e6e4a3373e
"salty hughes ranch,management unit #30,humphrey's",united states,new mexico,otero county,60f9e527-fd8f-4649-a643-451c47840cdb
approx one mile west of hwy 112 and fr 390,united states,new mexico,rio arriba county,cf20f65c-61ff-4103-a49f-d965b550ad82
"salty hughes ranch,unit 30, dog canyon, 1/4mi nort",united states,new mexico,otero county,d1da45fe-f11a-420f-8437-ced462741fdf
"peloncillo mtns, e. side of skull canyon, ca. 3.5 mi s, 2.4 mi e rodeo",united states,new mexico,hidalgo county,b734a4e0-0962-4e66-91f8-b2208d5ea8b3
port neill,u,u,,922ef9c0-da59-4b45-acc8-e0c251847981
"abq biopark zoo, albuquerque",united states,new mexico,bernalillo county,bb625ef0-bd32-4348-8c66-e9d02274cd75
ray ranch-5 miles south east of wagon mound,united states,new mexico,harding county,da8dbc78-a04e-4338-8d50-7cc68a95ad9d
taos ski valley- italianos canyon,united states,new mexico,taos county,ddef5fe3-969b-4f18-87c3-14d0adf8baa7
"san andreas national wildlife refuge, confluence of ash and salt canyons.",united states,new mexico,dona ana county,7f91c416-9626-4a7f-98b6-548a32a81b95
cow creek ranch,united states,new mexico,san miguel county,82ab2427-ef35-4266-a615-91e9d7b3f732
,,,,1fd0efe3-1320-4047-add9-ffacb9371b4d
nra whittington center,united states,new mexico,colfax county,832fd93b-7f07-44f0-be27-b8d9b4b6c6f1
sierra ladrones,united states,new mexico,socorro county,74f65ab7-9494-46d2-9032-4aa45c283bde
chama enterprises ranch,united states,new mexico,rio arriba county,7aaf0bd7-1f73-42e8-9a47-2285e6f0122a
mesa de los viejos,united states,new mexico,rio arriba county,53ed4d81-3372-4e2f-b6a4-9d357238531a
willow cr mesa,united states,new mexico,catron county,56af5d09-fb9a-4b21-9897-b06c68577e37
big cypress national park between i-75 and us 41,united states,florida,collier,ad2d1af1-02bf-45d2-b492-c97dd4e2f233
fra cristobal mtns.,united states,new mexico,sierra county,eea004c2-60b0-4e9d-a8f0-a4ffe3dfe7d7
saltimeir ranch,united states,new mexico,rio arriba county,93900a0e-96a0-4cb0-92a7-73c989555a32
stateline trail; hughes ranch; utm grid 517x3541,united states,new mexico,socorro county,ac7010f1-8988-48c2-9ce2-40e68f36803e
jacks peak,united states,new mexico,grant county,ae0400ee-c11d-4fb3-ba2b-9729a4e15231
tiger mt.; holder cr.,united states,washington,king county,1c35abd3-fae4-4cb6-9064-e5bd11c75a32
touchet,united states,washington,columbia,d1014ef2-be29-4441-9266-1235da06d63c
beaver creek,united states,arizona,yavapai,ecf74d94-1bc8-4ee2-bdc4-0e3e430d1e07
bledos,mexico,san luis potosí,,8cbf4d51-d96e-4821-a6d6-c8b52c5e2b26
no specific locality recorded,united states,utah,,cd3f3577-f11d-4aba-b58f-6b7f24cac74f
"30 mi s ft stockton, glass mts",united states,texas,pecos,63e21e80-8945-4c02-a36a-2f46464f2ae8
no specific locality recorded,united states,colorado,,51426f57-db97-4770-a815-87fa2e8f6a11
no specific locality recorded,united states,california,,5a2eeb7e-3a4c-44f7-9686-6fe7c81228c4
"cañadón jak, 20 miles south of santa cruz",argentina,santa fe,,5fb43d62-1314-4ebb-8f23-13ccfa79762a
"nanoose bay, vancouver island",canada,british columbia,,98a680f8-06ba-4ad5-92dc-e86867fd9aa7
little totem bay,united states,alaska,,9939d966-4d1b-4fb5-b166-4e54d8440ae8
,united states,arizona,,09345e7a-8ffc-42a4-9bbf-a635b41dbfdd
rousensock canyon; 40 mi n of clifton,united states,arizona,greenlee,30c57cd1-e52a-429e-a001-a41089601f55
"mogollon mountains, eastern slope",united states,arizona,yavapai,1db33854-8818-4826-b850-61a73f7d4008
"bruni ranch, near bruni",united states,texas,webb county,93e0e804-5195-4e48-b6f1-e377126123fb
no disponible,mexico,colima,no disponible,0d6be9f4-535e-46ce-b8f3-15c0cc9e56bc
cedar r. watershed; fish cr.,united states,washington,king county,f7008861-ede4-408e-b581-7977a852562f
"lake cushman, olympic mountains",united states,washington,mason county,928cd80b-b332-4645-a2c4-dce08ca27029
"keystone, pot hole summit",united states,nevada,nye county,c84042d5-b7d2-451e-9701-95e28c32f24f
princeton,canada,british columbia,,ac0a9183-36cf-4e7d-a7fc-c9dc11d781f5
vermejo park ranch-east fork of blind canyon,united states,new mexico,colfax county,983d4304-5436-4439-b1ee-69d1aa1d51a4
caracass mesa near forest service admin site,united states,new mexico,rio arriba county,a9dbac70-6c05-45f9-9185-5bce17704193
"oak-grassland assoc.; @ 5300 ft; t 34s, r 21w, s 15 sw 1/4",united states,new mexico,hidalgo county,b0c1e7ce-f980-4e74-bd1e-aa48ee28f936
"san andres wildlife national refuge; unit 19 zone h, ash & salt canyons",united states,new mexico,torrance county,c3a2a667-9b9c-4d0e-b0ba-c6c507e2c25f
w mountain,united states,new mexico,grant county,00170cbf-5381-4d61-8cfe-85e101517e65
"san andres mtns., lee canyon spring; t 12s. r 5e, ne 1/4 sec.3",united states,new mexico,sierra county,004fec34-b1eb-4f0c-b2ac-9d52c27cf4d2
"highway 70/380, 2 miles west of hondo",united states,new mexico,lincoln county,40cd7dd6-dd6e-4857-af1b-d5a64919ec47
dixon's apple farm,united states,new mexico,sandoval county,424147e6-e77b-4122-a211-66ce15fef8a1
"san andres mtns., cox canyon; t 21s, r 4e",united states,new mexico,dona ana county,46d751ce-b97a-4a6b-9348-343578574b15
pinavete mocho south of canjilon,united states,new mexico,rio arriba county,8338dbaf-a6f4-4e65-bb67-ea7811402fe7
florida panther national wildlife refuge,united states,florida,collier,b6aba321-8a8b-49a0-8cb8-7a74dab7f1c7
la jara canyon,united states,new mexico,sandoval county,6e707b3c-21c4-4e62-bbb0-9b605d7f9c3b
"near turkey jones grave site, south of hwy 112",united states,new mexico,rio arriba county,742e99d3-1215-4684-ad0f-5e0dbde3999f
"alamo hueco mtns., wood canyon; t 33s, r 15w",united states,new mexico,hidalgo county,785a4a17-0594-40ce-a3c0-f3bf965f372f
"smith creek, outside red rock wildlife management area.",united states,new mexico,grant county,7ab35e71-bf39-41d9-9f5f-b20fe84a07c2
las tablas,united states,new mexico,rio arriba county,e5562e44-aa39-4fd6-ac6e-0ceb89d94e3a
buzzard roost,,,,db420f61-015a-457e-9a15-5b6e30778e79
devils den; hughes ranch; utm grid 578x3545,united states,new mexico,socorro county,ec2fc924-218a-4355-a432-8eb0df93ef41
laborcita canyon,united states,new mexico,otero county,f172b54b-5a62-443b-95ab-5724141f3af9
"san andres nwr, san andres mtns., black prince mine, near mineral hill.",united states,new mexico,dona ana county,f4733d56-8a80-4743-a0a4-fd9ae05ea236
south of datil,united states,new mexico,lincoln county,48ecb6b4-a855-4608-a08d-906755be8390
inside bighorn enclosure,united states,new mexico,hidalgo county,53a5163d-ab6c-4822-bc13-081c30eb9699
locality unknown,united states,florida,,1e61569f-3f34-4a3d-887f-eeaeab0a1eee
south of talpa near american hill,united states,new mexico,taos county,07256534-9814-4656-8066-dd389f786687
tecolote land grant,united states,new mexico,san miguel county,0ac32d72-f63e-46bc-9e29-9e1f355284fd
forest road 120 a,united states,new mexico,lincoln county,1c213379-4605-4483-a33f-d754322e131f
french mesa; fr 8,united states,new mexico,rio arriba county,24594de0-9913-4dad-bd25-f172c6b191b6
red rock wildlife management area.,united states,new mexico,grant county,2b22e4da-cf9f-4f99-9844-71d48ed18dd0
xapuya,peru,loreto,,af97a014-8b36-4c04-87ad-6cb1ed7aa5fb
dillion mt,united states,new mexico,catron county,2dc58331-820c-4745-8dd9-19e3259e6d85
"fr 314, approximately 5 miles south of hwy 64 on carson nf",united states,new mexico,rio arriba county,2f7cb916-74ff-4d22-9c69-d0927489f0c0
10 miles north of mora,united states,new mexico,mora county,31b6b7fd-deb1-4270-a035-580cc9ca98d8
t51n r103w s21,united states,wyoming,park county,41818727-4ff9-40f1-a43d-7e22b8177796
"huerfano, la veta",united states,colorado,,124aafe1-8d80-4bc1-a5b8-a50624876f3a
cole,ecuador,esmeraldas,,b1236d76-1b52-41e5-ba85-f972e81ea8a6
eastern nevada,united states,nevada,,8bd84854-db1f-4942-a4a9-dea995849e9e
"hill hale section near lewis (between lewis, ausable forks).",united states,new york,essex,9b668cfd-8fc8-4132-b049-929c437c6ff1
iquitos,peru,loreto,maynas,95de7bf9-f813-4de5-91bc-b9d506d1be22
tenosique,mexico,tabasco,,857aa0af-c4d1-4031-baeb-2435ff81e585
"29 mi n, 8 mi e del rio, russell ranch near loma alta",united states,texas,val verde,9af54d8d-e7b8-4cf7-91de-1e9fac421025
bradshaw mountain,united states,arizona,yavapai,d8032f9c-bf50-4b1b-a359-f7480922a814
,,,,8e37bbcd-20d2-44bd-9545-19865779e90b
beaver creek,united states,arizona,yavapai,dda69a78-8ca6-488d-b411-9635703f2009
"denver, denver zoo",united states,colorado,denver county,faec3669-27d3-4c6e-bef3-c48feaea0a4b
10 mi w miraflores,mexico,baja california,,f0e55c7a-848b-4fe1-9ea0-a47624ab5022
no specific locality recorded,united states,california,humboldt county,f11b0fec-9024-467d-9081-88231051818d
"missoula, about 10 mi sw, sleeman creek",united states,montana,missoula county,535bf2a9-9fc1-49b2-86da-a29a722ffce8
60 mi s alpine,united states,texas,brewster county,829dfc17-5695-42fb-bf94-e3f831cb66a5
courtenay,canada,british columbia,,7e0e745c-2efd-47fd-9689-275ab09991d2
"lower california, calmalli",united states,california,,7b34be45-0399-4288-9c80-c037fb02b38e
"san andres mtns., ash canyon; t 19s, r 4e",united states,new mexico,dona ana county,765b0291-33c2-4ea9-afe4-ca5468da6ebc
"horseshoe springs, e. on 126",united states,new mexico,sandoval county,7857b49c-cf03-44ad-86be-7543a602b883
"magdalena mountains; t5s, r3w",united states,new mexico,socorro county,0ab7f914-bd1a-4d1b-a065-c2bed28cce25
dixon's apple farm,united states,new mexico,sandoval county,fadd49c1-da35-4820-9796-f49067f24883
off fs rd 103,united states,new mexico,rio arriba county,1d2a72bb-48d4-45d3-8c5c-e4e85aaa1f4d
magdalena mts,united states,new mexico,socorro county,021f1a47-7043-439c-ac45-1199865373a7
d bar ranch,united states,new mexico,catron county,bb27672e-6418-4291-8ec9-05b0d82b16ca
i-25 mile marker 436,united states,new mexico,colfax county,a4fb779f-9f0e-401d-b453-ef70f2bc6e6b
middle seco canyon,united states,new mexico,sierra county,8b130567-959e-44de-a999-e1395efc08a4
pozuzo,peru,pasco,oxapampa,04497e8c-fed0-45cc-8132-a5db0d772b63
5 miles west of canjillon,united states,new mexico,rio arriba county,91d51156-0763-4a0b-8f51-8c0a5ccf2cb2
"abq biopark zoo, albuquerque",united states,new mexico,bernalillo county,6e31b349-b637-4a51-bc72-f4913d48257f
superior mesa,united states,new mexico,rio arriba county,7150de5b-f0be-4aee-9bf5-71c50977bd6a
marble canyon,united states,new mexico,otero county,d6a0c232-ba09-45dc-8a8a-db354eced465
animas creek,united states,new mexico,sierra county,d9161366-571f-4089-adc4-554862f9f5cd
lowry,united states,california,tehama co.,f4b0e08b-58aa-4644-a5d3-c30ea5fe7ae4
boundary springs.,united states,new mexico,socorro county,dd0e0522-b527-49cc-a6c3-cd7949bab64d
rito oso creek,united states,new mexico,san miguel county,e1a533bb-e8cf-43fa-a160-7666b4f20a18
"peloncillo mtns., post office canyon.",united states,new mexico,hidalgo county,f179071d-f1f4-428d-94fc-87e95a55aabb
caballero canyon,united states,new mexico,otero county,c1a29a6d-2471-4921-92d2-cc4f4a686476
"oscura mtns., up canyon from rabbit springs; t 6s, r 6e",united states,new mexico,socorro county,cce50188-4f20-4c3a-a1a3-c65d8a919fc5
2 miles w of s.r.29; 10 miles n of alligator alley,united states,florida,collier,bd376968-17b0-41e6-92b1-7603545d5765
"big hatchet mtns., raminez canyon; t 31s, r 15w",united states,new mexico,hidalgo county,555cda54-6482-43a3-ac6a-41719563c039
"1.5 mi e of first water unit to south peak, oscura; t 7s, r 6e",united states,new mexico,socorro county,588d3b52-ccc1-493d-844d-3fd8c37bded6
"25 bartlett mesa road, raton",united states,new mexico,colfax county,5bf96646-8860-4d67-86fb-e3fe8a676031
@ 2 mi n sandia peak; base of the shield; up piedr,united states,new mexico,sandoval county,3681055a-fd1b-49a3-bb15-877efb95c826
"ft. valley exp. sta., 10 mi nw flagstaff",united states,arizona,coconino county,388c2e48-00e8-427b-8d89-7f44733bb9d8
,,,,518dc161-3ce9-4c97-88b7-70264611c54d
matheny river,united states,washington,jefferson county,30de387c-8b97-4a18-9f4a-a6a5e75c5a72
"elwha, near",united states,washington,clallam county,b27699cd-a8bc-4acd-be03-63360362c16e
soledad ranch,united states,texas,webb county,6ffaccc2-5547-4bdf-93cb-4026fb9f513a
wolflick run,united states,pennsylvania,elk county,9f2e5a4a-5c4d-4019-bbec-84c95e67b006
la libertad,guatemala,peten,,7ab361cf-80c7-4d98-b496-cff732d8dac7
genesee,united states,california,plumas county,ca61ca37-4a89-49cf-b5b9-7c33f309b02d
unspecified,,,,0b114cd1-9c7b-425e-a13f-f73dd71c9cfe
animas mountains,united states,new mexico,hidalgo county,d385ffeb-db52-45d2-8ef6-5dd0811d18ce
white river,united states,arizona,navajo,d93ba6fe-08ec-449c-bad6-246ee94f1a63
queets river,united states,washington,jefferson county,08e2a4de-ca2b-4f22-bd0c-996d9089d68a
"quitman mountains, 12 mi w of sierra blanca",united states,texas,hudspeth county,37b5bc30-db9d-4ebe-9c9c-c2deb5725f53
"fredonia, rock canyon",united states,arizona,coconino county,6043ca47-83ef-4603-9831-013dec84c138
nw corner of webb county,united states,texas,webb county,1a9a5300-1596-48c3-aabd-14b1bf79f005
eagle mountains,united states,texas,hudspeth county,d2271482-f52e-4be7-bee6-f23aad2eef9a
indio ranch,united states,texas,maverick county,d53e6c83-5518-40d3-98b3-82038938980e
smith woodward ranch,united states,texas,webb county,1f5952d1-197c-4876-a9af-a428b194a30e
"noonday canyon, s part of gila national forest, twp. 173 r. 11 w. section 4",united states,new mexico,grant county,c8891fa5-008c-418c-b898-d29fc2063308
north of price,united states,utah,carbon county,e9d4d03b-79b8-42d0-a813-5769fa22ddf9
7 mi nw silver city,united states,new mexico,grant county,c031b886-3818-4e2f-bb9e-8185da0e59bf
big pine openings; between middle fork of will r. and stanley cr.; 0.5 mi s; t24s r4e sec 18,united states,oregon,lane county,db5a6c40-e49e-4efa-91e6-de1ac944c2fb
goshen; 5 mi w,united states,oregon,lane county,d2d73817-749a-4836-841b-71bd708cc2cb
spruce; olympic mts.,united states,washington,jefferson county,d3a6359a-2e23-4cee-b922-9811598a10b4
t1n r41e sec 32,united states,oregon,union county,d7a85ab2-6122-4912-a698-bf967913c622
"indio ranch, eagle pass, s part of maverick county, whitehead bros. ranch",united states,texas,maverick county,93d6c6b5-725a-4b12-9323-334d76183f7d
silver creek; salmon river valley,canada,british columbia,,4d8592f8-7457-4a79-b7cb-4efa1b91edfd
selway river,united states,idaho,idaho,9868c8f5-a0a6-4022-a5a6-8f9beac8901e
leviathan mine road,united states,california,alpine co.,99974bae-c04b-4fe8-9172-657bc9008933
[not recorded].,united states,washington,cowlitz,9c80cdcf-3132-4dac-84fe-ef7fd3a2444a
hehe mt.; buck creek drainage; 1 mi e; t18s r4e sec 4,united states,oregon,lane county,560e5178-9dc1-4a36-932a-16a8818e7e47
"dickenson mountain; i-5, 3 mi e; t23s r4w sec 13",united states,oregon,douglas county,0fb6e543-3f0b-45a5-af1f-c0df39e9ebee
bald mtn; 3 mi n,united states,california,el dorado,5305a6a8-a6d2-4fee-9f10-23b692469d40
rio verde,ecuador,esmeraldas,,0cc94f7e-d7f3-4e20-80fb-c5b4907ef7db
selway river,united states,idaho,idaho,ac798794-8471-4826-b4bb-67786690a3b8
unit 28; camas creek,united states,idaho,,64258c4e-b1fc-4140-836e-d9bc57828514
"near lake fork, clear creek rat rivers mts",united states,utah,box elder county,6a67d155-1ed9-41b3-bc8f-d59115233902
"unit 75, trout creek",united states,nevada,eureka county,6b2cddd2-cbd1-4243-9abd-782882afc2ca
possibly guadalupe mtns,united states,new mexico,eddy county,3b247269-17cb-4a0b-8042-47a82731dad3
johnson canyon,united states,utah,box elder county,51a12fc6-4199-475b-a1d3-02f91f5d36b2
walnut springs fra cristobals,united states,new mexico,sierra county,54ad1482-32cc-45e2-a9fa-8eaee669e052
hansel valley,united states,utah,box elder county,1a5d5532-53b7-463d-b987-ea9d2e416d52
black pine,united states,idaho,cassia county,91c43161-a002-4d87-9a2b-b4f82f96e58c
san andres mtns. #1,united states,new mexico,,9bec6300-c92a-4723-a0ce-ea1124993b61
"salty hughes ranch, management unit 30,stateline t",united states,new mexico,eddy county,ccf10c68-7fd3-4666-8c2e-8bfbd20dfa33
possibly guadalupe mtns,united states,new mexico,eddy county,d0f26ae0-d8ce-4a6f-9a6c-3040b0784a1f
mazatlan,mexico,sinaloa,,7e7599ef-a631-4db5-b1ac-327cdd921171
"raft river mts, one mile canyon",united states,utah,box elder county,835b0def-b95f-42c7-9544-d00581be7f0f
"west side of red gap, ira cristobal mountains, armedariz ranch",united states,new mexico,sierra county,8481709d-494b-452f-adeb-ffb9618b1d0a
unknown,united states,new mexico,,c36daac5-8cdb-44be-be49-384844ac9b38
"unit 17, cedar creek",united states,idaho,power county,e790139e-3cb2-41c0-9a8f-c9f3cee607d5
"jim sage mts, black sands canyon",united states,idaho,cassia county,7076d43d-5f7b-4604-b8ca-9378540a3372
"unit 28, squaw camp creek",united states,idaho,power county,71dcbab3-8d6f-492d-b154-af550d76c976
black pine,united states,idaho,cassia county,7d28e4cc-7bc9-465e-bc62-fd430d824826
"angol, angol",chile,la araucania,malleco,842040e9-1cf9-43b7-9b34-29e049095def
"alapata flats, north-east lake, toheechobee",united states,florida,brevard co,5bbc29ca-b5fb-4b5c-bafc-3b59044c1798
,colombia,antioquia,,5671214b-122d-4d67-9cdc-9004ac269c8d
junction of corbin creek and south fork of eel river,united states,california,mendocino co.,3a393168-8480-4be5-8a45-95aaa2bbcb03
"san pedro ranch, carrizo springs, sw part of dimmit county",united states,texas,dimmit county,d05f90c9-3178-4294-9347-a924b2b007e6
"datil, cibola forest",united states,new mexico,socorro county,4e5df912-b09f-44dc-8ea2-bc657214f0d7
"republic, near",united states,washington,ferry county,ad94b3fa-670a-444f-86ac-052edde85f21
"estacada, roaring river",united states,oregon,clackamas county,9c3b4ae7-fc35-4348-ab58-0c41293b4a1b
"sierra blanca, 30 mi n",united states,texas,hudspeth county,d09e99be-2c44-4149-a332-74117c038c77
elwha river,united states,washington,clallam county,3a286f6c-4a63-46d9-aec9-827dfaed6cc9
"illahe, ne of, sugar pine ridge",united states,oregon,curry county,b85bfec0-0f7d-4909-bdd3-1398504da335
smith woodward ranch,united states,texas,webb county,c76bf085-f1b8-418e-bb22-c7823c176934
indio ranch,united states,texas,maverick county,a1edf553-62f5-4140-9c9f-46bd79fe9bad
willie b. whitehead ranch,united states,texas,maverick county,891bf400-ef12-47bb-a1d2-b2d54b21268c
"murphy peak, grant's pass, 10 mi s",united states,oregon,josephine county,65e9a597-1ec9-45da-882c-8f7438b01157
"estacado, oak grove butte",united states,oregon,clackamas county,27e6f1e9-4a2c-4823-b722-63f7b3a1ad5f
"san emigdio canyon, san emigdio",united states,california,kern county,65d2e5e6-a6c7-43a1-9f8a-46ea24fd6034
"agness, 12 mi e, sugarloaf mtn.",united states,oregon,curry county,5914489f-84f5-4035-bfcb-4dc474f7ea27
queets river,united states,washington,jefferson county,e7611385-96c0-4c70-a243-6fa718e0aa55
"indio ranch, eagle pass, whitehead bros ranch, s part of maverick county",united states,texas,maverick county,336428d1-c963-4439-854f-d65da0d9370c
"eagle pass, 30 mi s",united states,texas,maverick county,587a186c-0388-4f05-b188-ce489b6de3ec
"conway, 3 mi se",united states,washington,skagit county,fa469176-f879-40b5-a7a2-7ddafd5a080a
"cotulla, 30 mi se, dobie ranch",united states,texas,webb county,ecebda07-2e33-4791-a5a5-fb6d7f3ede02
,panama,chiriqui,boqueron,f0cbb98b-d4bb-4613-bf69-a9aa62de0957
tuparana lake,brazil,espírito santo,,f38d9c70-6936-490a-a059-d597e88ecaf1
"aquilares, 16 mi n, j. neals ranch",united states,texas,webb county,6e582b96-25cf-4518-92cd-f3360be89f5a
eastern nevada,united states,nevada,,d78440de-da2e-4ceb-a76f-e1e7a2710877
wilkeson,united states,washington,pierce county,39f7a18f-ad6e-4a82-8371-1d40d616488a
